0.10	1.00	0.63	0.06	1.00	0.06
0.20	1.00	0.63	0.19	1.99	0.19
0.40	1.00	0.63	0.44	2.96	0.44
0.50	1.00	0.63	0.75	3.91	0.75
0.70	1.00	0.63	1.17	4.81	1.19
0.90	1.00	0.63	1.71	5.66	1.76
1.00	1.00	0.63	2.30	6.47	2.39
1.20	1.00	0.63	2.98	7.20	3.14
1.40	1.00	0.63	3.75	7.83	4.02
1.50	1.00	0.63	4.56	8.42	4.96
1.70	1.00	0.63	5.44	8.90	6.03
1.90	1.00	0.63	6.37	9.27	7.23
2.00	1.00	0.63	7.32	9.58	8.48
2.20	1.00	0.63	8.30	9.77	9.86
2.40	1.00	0.63	9.30	9.83	11.37
2.50	1.00	0.63	10.30	9.83	12.94
2.70	1.00	0.63	11.29	9.71	14.64
2.90	1.00	0.63	12.26	9.46	16.46
3.00	1.00	0.63	13.21	9.15	18.35
3.20	1.00	0.63	14.11	8.72	20.36
3.40	1.00	0.63	14.96	8.19	22.49
3.60	1.00	0.63	15.73	7.55	24.76
3.70	1.00	0.63	16.46	6.86	27.08
3.90	1.00	0.63	17.09	6.09	29.53
4.00	1.00	0.63	17.68	5.29	32.04
4.20	1.00	0.63	18.16	4.41	34.68
4.40	1.00	0.63	18.53	3.48	37.45
4.50	1.00	0.63	18.84	2.53	40.28
4.70	1.00	0.63	19.03	1.55	43.23
4.90	1.00	0.63	19.09	0.55	46.31
5.00	1.00	0.63	19.09	-0.45	49.45
5.20	1.00	0.63	18.97	-1.44	52.72
5.40	1.00	0.63	18.72	-2.41	56.11
5.50	1.00	0.63	18.41	-3.36	59.56
5.70	1.00	0.63	17.98	-4.27	63.15
5.90	1.00	0.63	17.45	-5.11	66.85
6.00	1.00	0.63	16.86	-5.92	70.62
6.20	1.00	0.63	16.17	-6.65	74.52
6.40	1.00	0.63	15.40	-7.29	78.54
6.50	1.00	0.63	14.59	-7.88	82.62
6.70	1.00	0.63	13.72	-8.36	86.83
6.90	1.00	0.63	12.79	-8.73	91.17
7.00	1.00	0.63	11.84	-9.04	95.57
7.20	1.00	0.63	10.86	-9.22	100.09
7.40	1.00	0.63	9.86	-9.29	104.74
7.50	1.00	0.63	8.86	-9.29	109.45
7.70	1.00	0.63	7.87	-9.16	114.29
7.90	1.00	0.63	6.90	-8.91	119.25
8.00	1.00	0.63	5.95	-8.60	124.28
8.20	1.00	0.63	5.04	-8.18	129.43
8.40	1.00	0.63	4.20	-7.64	134.71
8.50	1.00	0.63	3.39	-7.05	140.05
8.70	1.00	0.63	2.66	-6.37	145.52
8.90	1.00	0.63	2.02	-5.60	151.11
9.00	1.00	0.63	1.43	-4.79	156.77
9.20	1.00	0.63	0.95	-3.91	162.55
9.40	1.00	0.63	0.58	-2.98	168.45
9.50	1.00	0.63	0.27	-2.03	174.42
9.70	1.00	0.63	0.09	-1.05	180.52
9.90	1.00	0.63	0.02	-0.05	186.74
10.00	1.00	0.63	0.02	0.95	193.02
10.20	1.00	-0.63	-0.10	1.94	186.61
10.40	1.00	-0.63	-0.35	2.91	180.08
10.50	1.00	-0.63	-0.66	3.86	173.48
10.70	1.00	-0.63	-1.08	4.76	166.76
10.90	1.00	-0.63	-1.62	5.61	159.91
11.00	1.00	-0.63	-2.21	6.42	153.00
11.20	1.00	-0.63	-2.89	7.15	145.96
11.40	1.00	-0.63	-3.66	7.78	138.80
11.50	1.00	-0.63	-4.47	8.37	131.57
11.70	1.00	-0.63	-5.35	8.85	124.22
11.90	1.00	-0.63	-6.28	9.22	116.74
12.00	1.00	-0.63	-7.23	9.53	109.20
12.20	1.00	-0.63	-8.21	9.72	101.54
12.40	1.00	-0.63	-9.21	9.78	93.75
12.50	1.00	-0.63	-10.21	9.78	85.89
12.70	1.00	-0.63	-11.20	9.66	77.91
12.90	1.00	-0.63	-12.17	9.41	69.81
13.00	1.00	-0.63	-13.12	9.10	61.64
13.20	1.00	-0.63	-14.03	8.67	53.34
13.40	1.00	-0.63	-14.87	8.14	44.92
13.50	1.00	-0.63	-15.68	7.55	36.44
13.70	1.00	-0.63	-16.41	6.86	27.83
13.90	1.00	-0.63	-17.05	6.09	19.10
14.00	1.00	-0.63	-17.63	5.29	10.30
14.20	1.00	-0.63	-18.12	4.41	1.38
14.40	1.00	-0.63	-18.48	3.48	-7.67
14.50	1.00	-0.63	-18.79	2.53	-16.78
14.70	1.00	-0.63	-18.98	1.55	-26.01
14.90	1.00	-0.63	-19.04	0.55	-35.37
15.00	1.00	-0.63	-19.04	-0.45	-44.80
15.20	1.00	-0.63	-18.92	-1.44	-54.35
15.40	1.00	-0.63	-18.67	-2.41	-64.03
15.50	1.00	-0.63	-18.36	-3.36	-73.76
15.70	1.00	-0.63	-17.93	-4.27	-83.63
15.90	1.00	-0.63	-17.40	-5.11	-93.62
16.00	1.00	-0.63	-16.81	-5.92	-103.67
16.20	1.00	-0.63	-16.13	-6.65	-113.85
16.40	1.00	-0.63	-15.36	-7.29	-124.16
16.50	1.00	-0.63	-14.55	-7.88	-134.52
16.70	1.00	-0.63	-13.67	-8.36	-145.02
16.90	1.00	-0.63	-12.74	-8.73	-155.63
17.00	1.00	-0.63	-11.79	-9.04	-166.32
17.20	1.00	-0.63	-10.81	-9.22	-177.12
17.40	1.00	-0.63	-9.81	-9.29	-188.06
17.50	1.00	-0.63	-8.81	-9.29	-199.05
17.70	1.00	-0.63	-7.82	-9.16	-210.17
17.90	1.00	-0.63	-6.85	-8.91	-221.42
18.00	1.00	-0.63	-5.90	-8.60	-232.73
18.20	1.00	-0.63	-4.99	-8.18	-244.16
18.40	1.00	-0.63	-4.15	-7.64	-255.73
18.50	1.00	-0.63	-3.34	-7.05	-267.35
18.70	1.00	-0.63	-2.61	-6.37	-279.10
18.90	1.00	-0.63	-1.97	-5.60	-290.97
19.00	1.00	-0.63	-1.38	-4.79	-302.91
19.20	1.00	-0.63	-0.90	-3.91	-314.98
19.40	1.00	-0.63	-0.53	-2.98	-327.17
19.50	1.00	-0.63	-0.23	-2.03	-339.42
19.70	1.00	-0.63	-0.04	-1.05	-351.80
19.90	1.00	-0.63	0.02	-0.05	-364.30
